,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Josie,Bakersfield,CITY OF BAKERSFIELD (FINANCE DEPT),Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,Emailed invoice to ap waiting on response ,,,,27
Sylvia,Bakersfield,VALLEY EXCAVATING,Active,Contacted,COLLECTION TEAM,WEEKLY,3/27/2026,left message for A/P make sure the March invoice was received.,,,,54
Sylvia,Bakersfield,NAGLE EARTHWORKS,Active,Contacted,COLLECTION TEAM,WEEKLY,3/30/2026,"another call to Beverly, see if payment out last week for those open invoices.",,,,51
Sylvia,Arroyo Grande,CCFG CONSTRUCTION.,Active,Not Contacted,COLLECTION TEAM,WEEKLY,3/24/2026,"$7,396.00 Ck-12660 for those Feb/March invocies, check going out on today's mail per Jolene.",,,,57
Sylvia,Arroyo Grande / Bakersfield,VIDEO INSPECTION SPECIALISTS INC,Active,Contacted,COLLECTION TEAM,WEEKLY,3/23/2026,"calling A/P to make sure the Feb-28 invoice was received, no answer let message",,,,58
Josie,,"SUPERIOR AG CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2026,Responded said she was traveling said to email Donna foward email to her waiting for response ,,,,20
Sylvia,Bakersfield,BROWNING CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,3/19/2026,looking into over 90 balance,,,,62
Josie,  O.C,CRESCENTA VALLEY WATER DISTRICT,Active,Contacted,COLLECTION TEAM,WEEKLY,3/17/2026,Tina emailed back said yes she has and it takes about two weekks for payment Called spoke with Tessa put me on hold Tina never picked up Emailed her asking if she needs invoice ,,,,64
Josie,,"SPIESS CONSTRUCTION COMPANY, INC. (PENDIN",Active,Contacted,COLLECTION TEAM,WEEKLY,3/13/2026,Said that check was put in the mail this morning ,,,,68
Sylvia,Bakersfield,MAC GENERAL ENGINEERING,Active,Contacted,COLLECTION TEAM,WEEKLY,11/5/2025,(lui) sent open balance report. thay are current ,,,,196
Josie,Bakersfield,B.L. SOLUTIONS,Active,Contacted,COLLECTION TEAM,WEEKLY,3/11/2026,Balance on this account as of 3/11/26 is $132.00 for invoices 000003867 STB,,,,70
Josie,Bakersfield,GREENFIELD COUNTY WATER DISTRICT,Active,Contacted,COLLECTION TEAM,WEEKLY,11/24/2025,Wendy emailed back said she will get with her GM Wendy reached out wanted to know how much discount was called not answer emailed her that it was 2%Emailed asking if she would like to uitilize our early pay discount waiting on respond,,,,177
